C10:1
C11:1
C12:1
C13:1
C16:1
C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C30:1
C31:1
C33:1
C34:1
C35:1
C36:1
C38:1
C39:1
C41:1
C7:1
CBUCK1:1
CBUCKOUT1:1
CSNUB1:1
C_ADC1:1
C_ENV1:1
D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
F1:1
IC1:1
IC2:1
J1:1
J10:1
J11:1
J12:1
J13:1
J14:1
J15:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
L1:1
LED_STAT1:1
Q1:1
R1:1
R12:1
R17:1
R18:1
R19:1
R21:1
R22:1
R26:1
R27:1
R28:1
R29:1
R31:1
R32:1
R33:1
R35:1
R37:1
R38:1
R39:1
R40:1
R41:1
R5:1
R6:1
R9:1
REF**:4
RSNUB1:1
R_ENV1:1
R_IN1:1
R_PDN_UP1:1
R_UART1:1
SW_BOOT1:1
SW_RESET1:1
U1:1
U2:1
U3:1
U4:1
