sample_id,particle_size_um
stroke10,2097.6
stroke10,1854.4
stroke10,941.9
stroke10,775.3
stroke10,1034.8
stroke10,1431.3
stroke10,1357.5
stroke10,908.5
stroke10,938.7
stroke10,1149.8
stroke10,676.8
stroke10,949.3
stroke10,981.3
stroke10,723.4
stroke10,801.1
stroke10,957.7
stroke10,488.4
stroke10,681.1
stroke10,581.6
stroke10,507.7
stroke10,529.7
stroke10,2044.1
stroke10,942.2
stroke10,1089.2
stroke10,1349.6
stroke10,690.2
stroke10,698.9
stroke10,923.7
stroke10,1087.0
stroke10,1006.2
stroke10,624.5
stroke10,735.3
stroke10,681.0
stroke10,467.6
stroke10,568.5
stroke10,607.4
stroke10,561.3
stroke10,716.3
stroke10,656.6
stroke10,713.5
stroke10,1997.6
stroke10,1366.0
stroke10,848.9
stroke10,503.9
stroke10,1060.3
stroke10,790.3
stroke10,797.1
stroke10,558.9
stroke10,797.9
stroke10,576.1
stroke10,696.5
stroke10,673.0
stroke10,708.8
stroke10,803.5
stroke10,586.9
stroke10,506.2
stroke10,671.1
stroke10,478.6
stroke10,968.5
stroke10,1461.7
stroke10,968.5
stroke10,786.8
stroke10,895.5
stroke10,820.5
stroke10,652.1
stroke10,532.5
stroke10,627.0
stroke10,2168.0
stroke10,1954.9
stroke10,545.0
stroke10,651.6
stroke10,1716.7
stroke10,792.0
stroke10,542.2
stroke10,667.4
stroke10,607.7
stroke10,478.4
stroke10,440.8
stroke10,630.8
stroke10,656.8
stroke10,586.4
stroke10,766.4
stroke10,1569.4
stroke10,650.5
stroke10,638.8
stroke10,539.0
stroke10,564.1
stroke10,630.7
stroke10,815.5
stroke10,1918.1
stroke10,669.8
stroke10,555.2
stroke10,580.1
stroke10,1966.4
stroke10,1198.6
stroke10,650.3
stroke10,647.8
stroke10,480.0
stroke10,576.3
stroke10,717.1
stroke10,638.2
stroke10,668.9
stroke10,1108.0
stroke10,554.3
stroke10,484.4
stroke10,555.0
stroke10,1080.7
stroke10,774.2
