sample_id,particle_size_um
stroke5,1270.6
stroke5,1244.7
stroke5,985.4
stroke5,824.4
stroke5,813.9
stroke5,546.7
stroke5,894.6
stroke5,610.8
stroke5,466.0
stroke5,563.5
stroke5,547.0
stroke5,640.4
stroke5,654.8
stroke5,837.0
stroke5,794.5
stroke5,684.5
stroke5,602.3
stroke5,575.1
stroke5,498.4
stroke5,692.7
stroke5,677.8
stroke5,989.1
stroke5,941.5
stroke5,746.4
stroke5,516.1
stroke5,510.2
stroke5,564.4
stroke5,2194.3
stroke5,1036.0
stroke5,1088.3
stroke5,1347.1
stroke5,754.8
stroke5,685.8
stroke5,541.1
stroke5,699.0
stroke5,740.1
stroke5,697.5
stroke5,714.5
stroke5,1633.8
stroke5,1098.1
stroke5,883.7
stroke5,1520.1
stroke5,746.6
stroke5,589.7
stroke5,919.6
stroke5,1856.8
stroke5,1067.2
stroke5,986.1
stroke5,759.7
stroke5,1000.8
stroke5,2459.5
stroke5,1274.2
stroke5,1167.4
stroke5,1062.3
stroke5,966.1
stroke5,1025.1
stroke5,1008.6
stroke5,578.1
stroke5,464.3
stroke5,2619.7
stroke5,1031.5
stroke5,708.7
stroke5,925.6
stroke5,886.6
stroke5,590.0
stroke5,604.8
stroke5,608.5
stroke5,514.0
stroke5,1830.4
stroke5,871.3
stroke5,743.8
stroke5,855.0
stroke5,890.9
stroke5,782.7
stroke5,680.1
stroke5,665.3
stroke5,568.3
stroke5,788.2
stroke5,677.7
stroke5,1263.7
stroke5,1126.3
stroke5,941.0
stroke5,867.4
stroke5,1130.5
stroke5,960.8
stroke5,1007.4
stroke5,765.5
stroke5,661.3
stroke5,691.5
stroke5,450.9
stroke5,686.5
stroke5,709.3
stroke5,649.5
stroke5,794.2
stroke5,563.7
stroke5,416.3
stroke5,481.2
stroke5,897.4
stroke5,796.8
stroke5,1416.2
stroke5,849.8
stroke5,806.7
stroke5,488.1
stroke5,747.9
stroke5,1127.5
stroke5,694.7
stroke5,908.8
stroke5,660.7
stroke5,454.1
stroke5,1125.4
stroke5,664.7
stroke5,474.6
stroke5,425.5
stroke5,854.6
stroke5,786.5
stroke5,1744.4
stroke5,450.3
stroke5,906.8
stroke5,683.3
stroke5,663.8
stroke5,903.8
stroke5,1565.6
stroke5,896.9
stroke5,686.7
stroke5,1422.1
stroke5,573.0
stroke5,700.8
stroke5,714.8
stroke5,450.7
stroke5,1323.9
stroke5,749.4
stroke5,1397.4
stroke5,846.2
stroke5,1005.7
stroke5,781.8
stroke5,910.7
stroke5,1097.4
stroke5,1196.6
stroke5,564.4
stroke5,1099.0
stroke5,779.9
stroke5,1446.7
stroke5,2865.2
stroke5,1642.3
stroke5,1007.1
stroke5,743.0
stroke5,732.7
stroke5,1320.7
stroke5,1264.3
stroke5,863.1
stroke5,641.5
