sample_id,particle_size_um
stroke15,755.5
stroke15,450.1
stroke15,1299.5
stroke15,1068.8
stroke15,948.9
stroke15,481.7
stroke15,647.9
stroke15,379.6
stroke15,325.8
stroke15,425.2
stroke15,588.3
stroke15,583.9
stroke15,351.4
stroke15,360.4
stroke15,717.0
stroke15,989.7
stroke15,1999.4
stroke15,484.4
stroke15,788.0
stroke15,570.5
stroke15,789.0
stroke15,368.7
stroke15,418.8
stroke15,547.6
stroke15,747.7
stroke15,470.5
stroke15,503.8
stroke15,325.5
stroke15,364.1
stroke15,311.0
stroke15,478.6
stroke15,327.7
stroke15,407.8
stroke15,426.4
stroke15,654.9
stroke15,501.2
stroke15,261.9
stroke15,419.2
stroke15,333.6
stroke15,1589.7
stroke15,503.3
stroke15,502.3
stroke15,712.9
stroke15,478.4
stroke15,443.8
stroke15,399.4
stroke15,498.8
stroke15,365.1
stroke15,218.2
stroke15,447.1
stroke15,588.8
stroke15,321.4
stroke15,300.2
stroke15,270.5
stroke15,309.8
stroke15,459.4
stroke15,534.1
stroke15,319.2
stroke15,409.3
stroke15,824.4
stroke15,438.3
stroke15,884.4
stroke15,407.3
stroke15,338.7
stroke15,1029.0
stroke15,425.9
stroke15,477.5
stroke15,591.3
stroke15,430.5
stroke15,1022.5
stroke15,431.2
stroke15,867.7
stroke15,707.7
stroke15,377.4
stroke15,398.2
stroke15,1773.5
stroke15,993.4
stroke15,998.4
stroke15,1532.6
stroke15,566.6
stroke15,513.8
stroke15,483.7
stroke15,502.1
stroke15,611.0
stroke15,626.7
stroke15,529.0
stroke15,524.4
stroke15,926.1
stroke15,479.1
stroke15,1569.4
stroke15,753.0
stroke15,401.5
stroke15,350.8
stroke15,538.6
stroke15,455.4
stroke15,424.3
stroke15,541.1
stroke15,624.7
stroke15,967.3
stroke15,693.7
stroke15,653.1
stroke15,572.9
stroke15,837.4
stroke15,724.7
stroke15,934.5
stroke15,613.6
stroke15,498.6
stroke15,457.5
stroke15,624.9
stroke15,599.4
stroke15,610.4
stroke15,502.0
stroke15,382.5
stroke15,597.1
stroke15,426.0
stroke15,1784.7
stroke15,1155.8
stroke15,1154.7
stroke15,1127.2
stroke15,1475.3
stroke15,768.9
stroke15,549.8
stroke15,634.7
stroke15,438.1
stroke15,375.5
stroke15,498.5
stroke15,403.7
stroke15,969.3
stroke15,945.1
stroke15,383.6
stroke15,551.0
stroke15,349.7
stroke15,474.3
stroke15,577.8
stroke15,649.0
stroke15,304.4
stroke15,577.5
stroke15,739.2
stroke15,747.8
stroke15,667.1
stroke15,535.7
stroke15,707.7
stroke15,1632.3
stroke15,826.3
stroke15,571.0
stroke15,689.4
stroke15,552.2
stroke15,666.4
stroke15,551.9
stroke15,913.9
stroke15,541.8
stroke15,922.1
stroke15,267.2
stroke15,399.1
stroke15,644.7
stroke15,585.0
stroke15,724.4
stroke15,1523.2
stroke15,683.5
stroke15,715.0
stroke15,884.7
stroke15,285.9
stroke15,469.8
stroke15,1393.1
stroke15,759.2
stroke15,622.0
stroke15,917.0
stroke15,918.5
stroke15,610.0
stroke15,1941.2
stroke15,1198.5
