sample_id,particle_size_um
stroke20,932.6
stroke20,684.5
stroke20,481.1
stroke20,534.6
stroke20,663.1
stroke20,634.5
stroke20,265.0
stroke20,461.8
stroke20,549.3
stroke20,852.3
stroke20,753.0
stroke20,500.8
stroke20,1069.2
stroke20,249.0
stroke20,230.7
stroke20,439.6
stroke20,434.8
stroke20,367.4
stroke20,522.2
stroke20,655.8
stroke20,1743.4
stroke20,1049.8
stroke20,790.0
stroke20,1324.8
stroke20,559.7
stroke20,179.7
stroke20,566.5
stroke20,370.8
stroke20,435.8
stroke20,352.3
stroke20,420.9
stroke20,468.2
stroke20,444.3
stroke20,419.7
stroke20,546.3
stroke20,664.4
stroke20,389.7
stroke20,573.0
stroke20,479.7
stroke20,1198.3
stroke20,1413.5
stroke20,877.7
stroke20,1424.0
stroke20,638.7
stroke20,341.0
stroke20,539.9
stroke20,475.7
stroke20,512.3
stroke20,679.6
stroke20,1092.4
stroke20,558.9
stroke20,475.7
stroke20,333.5
stroke20,347.8
stroke20,373.6
stroke20,462.7
stroke20,492.9
stroke20,279.3
stroke20,505.1
stroke20,390.0
stroke20,496.3
stroke20,728.4
stroke20,487.5
stroke20,904.2
stroke20,359.0
stroke20,806.2
stroke20,490.9
stroke20,389.0
stroke20,403.2
stroke20,444.5
stroke20,1071.9
stroke20,946.4
stroke20,620.0
stroke20,407.3
stroke20,464.9
stroke20,848.7
stroke20,643.5
stroke20,464.1
stroke20,504.2
stroke20,480.1
stroke20,412.3
stroke20,486.6
stroke20,794.6
stroke20,529.3
stroke20,1719.6
stroke20,482.6
stroke20,743.7
stroke20,1294.0
stroke20,1350.2
stroke20,830.4
stroke20,971.2
stroke20,598.1
stroke20,351.3
stroke20,469.1
stroke20,2152.1
stroke20,1822.1
stroke20,857.9
stroke20,955.2
stroke20,515.0
stroke20,826.7
stroke20,718.8
stroke20,561.8
stroke20,1441.9
stroke20,739.5
stroke20,606.7
stroke20,516.6
stroke20,459.8
stroke20,773.9
stroke20,673.2
stroke20,972.0
stroke20,303.3
stroke20,386.6
stroke20,603.4
stroke20,624.4
stroke20,650.0
stroke20,972.8
stroke20,545.4
stroke20,376.5
stroke20,255.3
stroke20,632.3
stroke20,301.2
stroke20,697.3
stroke20,1549.5
stroke20,1560.7
stroke20,808.2
stroke20,565.6
stroke20,395.7
stroke20,571.9
stroke20,526.5
stroke20,457.6
stroke20,526.3
stroke20,477.7
stroke20,654.4
stroke20,596.7
stroke20,559.5
stroke20,375.4
stroke20,353.1
stroke20,790.1
stroke20,536.9
stroke20,528.6
stroke20,554.0
stroke20,641.6
stroke20,337.3
stroke20,700.3
stroke20,599.6
stroke20,509.5
stroke20,512.6
stroke20,523.0
stroke20,325.6
stroke20,522.5
stroke20,710.2
stroke20,668.3
stroke20,500.2
stroke20,457.9
stroke20,549.6
stroke20,741.4
stroke20,1122.6
stroke20,682.0
stroke20,2502.6
stroke20,1481.6
stroke20,726.4
stroke20,334.2
stroke20,463.7
stroke20,499.7
stroke20,726.8
stroke20,318.3
stroke20,277.7
stroke20,394.5
stroke20,300.7
stroke20,417.5
stroke20,556.2
stroke20,1241.1
stroke20,842.1
stroke20,540.9
stroke20,534.8
stroke20,357.3
stroke20,644.5
stroke20,907.6
stroke20,565.4
stroke20,544.6
stroke20,532.5
stroke20,1557.4
stroke20,438.5
stroke20,534.9
stroke20,631.0
stroke20,586.9
stroke20,490.8
stroke20,457.8
stroke20,527.1
stroke20,1571.6
stroke20,391.3
stroke20,462.6
stroke20,423.7
stroke20,393.6
stroke20,427.7
stroke20,457.4
stroke20,403.8
stroke20,465.8
stroke20,390.6
stroke20,398.0
stroke20,458.0
stroke20,989.3
stroke20,1243.8
stroke20,717.9
stroke20,541.7
stroke20,1621.1
stroke20,793.1
stroke20,603.8
stroke20,532.2
stroke20,355.0
stroke20,375.8
stroke20,474.2
stroke20,362.6
stroke20,523.7
stroke20,1216.3
stroke20,904.7
stroke20,781.2
stroke20,805.6
stroke20,473.6
stroke20,471.8
stroke20,448.8
stroke20,899.7
stroke20,984.4
stroke20,772.7
stroke20,492.9
stroke20,431.8
stroke20,811.0
stroke20,580.7
stroke20,729.4
stroke20,691.6
stroke20,382.7
stroke20,550.1
stroke20,920.7
stroke20,693.3
stroke20,707.1
stroke20,1055.0
stroke20,509.4
stroke20,583.3
stroke20,606.6
stroke20,402.2
stroke20,668.5
stroke20,580.3
stroke20,673.6
stroke20,546.2
stroke20,422.5
stroke20,477.3
stroke20,650.2
stroke20,495.2
stroke20,519.0
stroke20,689.2
stroke20,533.8
stroke20,367.4
stroke20,403.1
stroke20,370.4
stroke20,725.2
stroke20,626.9
