sample_id,particle_size_um
stroke25,882.2
stroke25,1110.2
stroke25,507.7
stroke25,273.9
stroke25,690.7
stroke25,585.0
stroke25,369.6
stroke25,479.4
stroke25,635.1
stroke25,515.9
stroke25,619.2
stroke25,607.6
stroke25,568.6
stroke25,360.2
stroke25,487.5
stroke25,605.7
stroke25,670.8
