sample_id,stroke_count,n_particles,median_ecd_um,q1_um,q3_um,iqr_um,mean_um,stdev_um,min_um,max_um
stroke0,0,5,5194.9,4957.5,5624.5,667.0,5271.8,400.9,4869.8,5920.4
stroke1,1,152,1072.8,817.1,1768.4,951.3,1353.0,791.3,357.5,3719.3
stroke5,5,151,794.2,661.3,1025.1,363.7,901.3,405.2,416.3,2865.2
stroke10,10,414,680.5,547.8,882.8,335.0,773.5,354.4,268.4,2267.1
